ID_HerramientasQS,NumeroSerie,NumeroReparacion,Tipo,Fabricante,Modelo,Ejecución,Estado
3324,300436,300436,Llave de bisagra,Stahlwille,Stahlwille 755/4  4 - 40 Nm,llave dinamometrica / Knickschlüssel,en el servicio / im Betrieb
3325,300437,300437,Llave de bisagra,Stahlwille,Stahlwille 755/4  4 - 40 Nm,llave dinamometrica / Knickschlüssel,perdido / vermisst
3326,300438,300438,Llave de bisagra,Stahlwille,Stahlwille 755/4  4 - 40 Nm,llave dinamometrica / Knickschlüssel,en el servicio / im Betrieb
3327,300439,300439,Llave de bisagra,Stahlwille,Stahlwille 755/4  4 - 40 Nm,llave dinamometrica / Knickschlüssel,perdido / vermisst
3328,300440,300440,Llave de bisagra,Stahlwille,Stahlwille 755/4  4 - 40 Nm,llave dinamometrica / Knickschlüssel,en el servicio / im Betrieb
3329,300441,300441,Llave de bisagra,Stahlwille,Stahlwille 755/4  4 - 40 Nm,llave dinamometrica / Knickschlüssel,en el servicio / im Betrieb
333,09062584,09062584,Destornillador EC,AMT,ECR220Q2DWR200W2SWD200-200SO240Gix2,husillo / Spindel,en mantenimiento / Wartung/Rep
3330,300442,300442,Llave de bisagra,Stahlwille,Stahlwille 755/4  4 - 40 Nm,llave dinamometrica / Knickschlüssel,perdido / vermisst
3331,300443,300443,Llave de bisagra,Stahlwille,Stahlwille 755/4  4 - 40 Nm,llave dinamometrica / Knickschlüssel,perdido / vermisst
3332,300444,300444,Llave de bisagra,Stahlwille,Stahlwille 755/4  4 - 40 Nm,llave dinamometrica / Knickschlüssel,perdido / vermisst
3333,300445,300445,Llave de bisagra,Stahlwille,Stahlwille 755/4  4 - 40 Nm,llave dinamometrica / Knickschlüssel,en el servicio / im Betrieb
3334,300446,300446,Llave de bisagra,Stahlwille,Stahlwille 755/4  4 - 40 Nm,llave dinamometrica / Knickschlüssel,en el servicio / im Betrieb
3335,300447,300447,Llave de bisagra,Stahlwille,Stahlwille 755/4  4 - 40 Nm,llave dinamometrica / Knickschlüssel,en el servicio / im Betrieb
3336,300448,300448,Llave de bisagra,Stahlwille,Stahlwille 755/4  4 - 40 Nm,llave dinamometrica / Knickschlüssel,en el servicio / im Betrieb
3337,300449,300449,Llave de bisagra,Stahlwille,Stahlwille 755/4  4 - 40 Nm,llave dinamometrica / Knickschlüssel,perdido / vermisst
3338,300450,300450,Llave de bisagra,Stahlwille,Stahlwille 755/4  4 - 40 Nm,llave dinamometrica / Knickschlüssel,en la bodega / Im Lager
3339,300451,300451,Llave de bisagra,Stahlwille,Stahlwille 755/4  4 - 40 Nm,llave dinamometrica / Knickschlüssel,perdido / vermisst
334,09062585,09062585,Destornillador EC,AMT,ECR105DWR50W1AWD150-50,husillo / Spindel,en la bodega / Im Lager
3340,300452,300452,Llave de bisagra,Stahlwille,Stahlwille 755/4  4 - 40 Nm,llave dinamometrica / Knickschlüssel,en el servicio / im Betrieb
3341,300453,300453,Llave de bisagra,Stahlwille,Stahlwille 755/4  4 - 40 Nm,llave dinamometrica / Knickschlüssel,perdido / vermisst
3342,300454,300454,Llave de bisagra,Stahlwille,Stahlwille 755/4  4 - 40 Nm,llave dinamometrica / Knickschlüssel,en el servicio / im Betrieb
3343,300455,300455,Llave de bisagra,Stahlwille,Stahlwille 755/4  4 - 40 Nm,llave dinamometrica / Knickschlüssel,en el servicio / im Betrieb
3344,300456,300456,Llave de bisagra,Stahlwille,Stahlwille 755/4  4 - 40 Nm,llave dinamometrica / Knickschlüssel,perdido / vermisst
3345,300457,300457,Llave de bisagra,Stahlwille,Stahlwille 755/4  4 - 40 Nm,llave dinamometrica / Knickschlüssel,en el servicio / im Betrieb
3346,300458,300458,Llave de bisagra,Stahlwille,Stahlwille 755/4  4 - 40 Nm,llave dinamometrica / Knickschlüssel,en la bodega / Im Lager
3347,300459,300459,Llave de bisagra,Stahlwille,Stahlwille 755/4  4 - 40 Nm,llave dinamometrica / Knickschlüssel,en el servicio / im Betrieb
3348,300460,300460,Llave de bisagra,Stahlwille,Stahlwille 755/4  4 - 40 Nm,llave dinamometrica / Knickschlüssel,perdido / vermisst
3349,300461,300461,Llave de bisagra,Stahlwille,Stahlwille 755/4  4 - 40 Nm,llave dinamometrica / Knickschlüssel,en el servicio / im Betrieb
335,09062586,09062586,Destornillador EC,AMT,ECR211DWR120DWA120AZ250,husillo / Spindel,en el servicio / im Betrieb
3350,300462,300462,Llave de bisagra,Stahlwille,Stahlwille 755/4  4 - 40 Nm,llave dinamometrica / Knickschlüssel,en el servicio / im Betrieb
3351,300463,300463,Llave de bisagra,Stahlwille,Stahlwille 755/4  4 - 40 Nm,llave dinamometrica / Knickschlüssel,en el servicio / im Betrieb
3352,300464,300464,Llave de bisagra,Stahlwille,Stahlwille 755/4  4 - 40 Nm,llave dinamometrica / Knickschlüssel,perdido / vermisst
3353,300465,300465,Llave de bisagra,Stahlwille,Stahlwille 755/4  4 - 40 Nm,llave dinamometrica / Knickschlüssel,en la bodega / Im Lager
3354,300466,300466,Llave de bisagra,Stahlwille,Stahlwille 755/4  4 - 40 Nm,llave dinamometrica / Knickschlüssel,en la bodega / Im Lager
3355,300467,300467,Llave de bisagra,Stahlwille,Stahlwille 755/4  4 - 40 Nm,llave dinamometrica / Knickschlüssel,perdido / vermisst
3356,300468,300468,Llave de bisagra,Stahlwille,Stahlwille 755/4  4 - 40 Nm,llave dinamometrica / Knickschlüssel,perdido / vermisst
3357,300469,300469,Llave de bisagra,Stahlwille,Stahlwille 755/4  4 - 40 Nm,llave dinamometrica / Knickschlüssel,en el servicio / im Betrieb
3358,300470,300470,Llave de bisagra,Stahlwille,Stahlwille 755/4  4 - 40 Nm,llave dinamometrica / Knickschlüssel,en la bodega / Im Lager
3359,300471,300471,Llave de bisagra,Stahlwille,Stahlwille 755/4  4 - 40 Nm,llave dinamometrica / Knickschlüssel,perdido / vermisst
